skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu
Postgresql,Intermediate,Why choose PostgreSQL over other open-source databases?,Comparison,Benefits,Features,PostgreSQL offers advanced features like MVCC,table inheritance,"custom data types, extensibility",and strong ACID compliance.,https://www.postgresql.org/about/,https://youtube.com/results?search_query=postgresql+vs+mysql,https://youtube.com/results?search_query=postgresql+vs+mysql+hindi,https://youtube.com/results?search_query=postgresql+vs+mysql+kannada,https://youtube.com/results?search_query=postgresql+vs+mysql+tamil,https://youtube.com/results?search_query=postgresql+vs+mysql+telugu
Postgresql,Intermediate,How does PostgreSQL handle transactions?,Features,Transactions,ACID,PostgreSQL supports full ACID transactions with BEGIN,COMMIT,ROLLBACK,and savepoints for nested transaction control.,https://www.postgresql.org/docs/current/tutorial-transactions.html,https://youtube.com/results?search_query=postgresql+transactions,https://youtube.com/results?search_query=postgresql+transactions+hindi,https://youtube.com/results?search_query=postgresql+transactions+kannada,https://youtube.com/results?search_query=postgresql+transactions+tamil,https://youtube.com/results?search_query=postgresql+transactions+telugu
Postgresql,Intermediate,What is the difference between CHAR,VARCHAR,and TEXT?,Data Types,String Types,Storage,"CHAR is fixed-length padded with spaces, VARCHAR is variable-length with a limit",TEXT is variable-length unlimited. TEXT is generally preferred.,https://www.postgresql.org/docs/current/datatype-character.html,https://youtube.com/results?search_query=postgresql+char+varchar+text,https://youtube.com/results?search_query=postgresql+char+varchar+text+hindi,https://youtube.com/results?search_query=postgresql+char+varchar+text+kannada,https://youtube.com/results?search_query=postgresql+char+varchar+text+tamil,https://youtube.com/results?search_query=postgresql+char+varchar+text+telugu
Postgresql,Intermediate,How to create an index in PostgreSQL?,Performance,Indexes,Types,Use CREATE INDEX index_name ON table_name (column); Types include B-tree (default),Hash,"GIN, GiST, BRIN",and SP-GiST.,https://www.postgresql.org/docs/current/indexes-types.html,https://youtube.com/results?search_query=postgresql+create+index,https://youtube.com/results?search_query=postgresql+create+index+hindi,https://youtube.com/results?search_query=postgresql+create+index+kannada,https://youtube.com/results?search_query=postgresql+create+index+tamil,https://youtube.com/results?search_query=postgresql+create+index+telugu
Postgresql,Intermediate,How to query JSONB data in PostgreSQL?,SQL,JSONB,Operators,Use operators: -> (get JSON object),->> (get text),"#> (path), @> (contains). Functions: jsonb_extract_path",jsonb_array_elements.,https://www.postgresql.org/docs/current/functions-json.html,https://youtube.com/results?search_query=postgresql+query+jsonb,https://youtube.com/results?search_query=postgresql+query+jsonb+hindi,https://youtube.com/results?search_query=postgresql+query+jsonb+kannada,https://youtube.com/results?search_query=postgresql+query+jsonb+tamil,https://youtube.com/results?search_query=postgresql+query+jsonb+telugu
Postgresql,Intermediate,What are the different isolation levels in PostgreSQL?,Transactions,Isolation Levels,Concurrency,PostgreSQL supports Read Uncommitted,Read Committed (default),Repeatable Read,and Serializable. Controls visibility of concurrent transactions.,https://www.postgresql.org/docs/current/transaction-iso.html,https://youtube.com/results?search_query=postgresql+isolation+levels,https://youtube.com/results?search_query=postgresql+isolation+levels+hindi,https://youtube.com/results?search_query=postgresql+isolation+levels+kannada,https://youtube.com/results?search_query=postgresql+isolation+levels+tamil,https://youtube.com/results?search_query=postgresql+isolation+levels+telugu
Postgresql,Intermediate,How to perform database maintenance tasks?,Maintenance,Routine Tasks,VACUUM ANALYZE,Regular tasks: VACUUM (manual or autovacuum),ANALYZE for statistics,REINDEX for corrupted indexes,and checking log files.,https://www.postgresql.org/docs/current/maintenance.html,https://youtube.com/results?search_query=postgresql+database+maintenance,https://youtube.com/results?search_query=postgresql+database+maintenance+hindi,https://youtube.com/results?search_query=postgresql+database+maintenance+kannada,https://youtube.com/results?search_query=postgresql+database+maintenance+tamil,https://youtube.com/results?search_query=postgresql+database+maintenance+telugu
Postgresql,Intermediate,How to use the pg_restore utility?,Administration,Restore,pg_restore,pg_restore restores databases from backups created by pg_dump in custom,directory,or tar formats. Use with -d for database,-C for create.,https://www.postgresql.org/docs/current/app-pgrestore.html,https://youtube.com/results?search_query=postgresql+pg_restore,https://youtube.com/results?search_query=postgresql+pg_restore+hindi,https://youtube.com/results?search_query=postgresql+pg_restore+kannada,https://youtube.com/results?search_query=postgresql+pg_restore+tamil,https://youtube.com/results?search_query=postgresql+pg_restore+telugu
Postgresql,Intermediate,How to configure autovacuum settings?,Maintenance,Autovacuum,Configuration,Set parameters in postgresql.conf: autovacuum_vacuum_scale_factor,autovacuum_analyze_scale_factor,autovacuum_vacuum_cost_delay,etc.,https://www.postgresql.org/docs/current/runtime-config-autovacuum.html,https://youtube.com/results?search_query=postgresql+autovacuum+configuration,https://youtube.com/results?search_query=postgresql+autovacuum+configuration+hindi,https://youtube.com/results?search_query=postgresql+autovacuum+configuration+kannada,https://youtube.com/results?search_query=postgresql+autovacuum+configuration+tamil,https://youtube.com/results?search_query=postgresql+autovacuum+configuration+telugu
Postgresql,Intermediate,What are the system catalog tables and how to query them?,Administration,System Catalog,Metadata,System catalog tables (pg_class,pg_attribute,pg_index,etc.) store metadata. Query them to inspect database structure.,https://www.postgresql.org/docs/current/catalogs.html,https://youtube.com/results?search_query=postgresql+system+catalog,https://youtube.com/results?search_query=postgresql+system+catalog+hindi,https://youtube.com/results?search_query=postgresql+system+catalog+kannada,https://youtube.com/results?search_query=postgresql+system+catalog+tamil,https://youtube.com/results?search_query=postgresql+system+catalog+telugu
